central_M2,central_M3sm,family_a_W5_M2,family_a_W5_M3sm,family_a_W7_M2,family_a_W7_M3sm,sequence,n_frames
,0.04620480227090691,,0.012701928780576268,,0.007699282406616821,f1275002-842e-3571-8f7d-05816bc7cf56,160
,0.045552905743393955,,0.010842802041877866,,0.006679677047052124,f2576c8a-da9b-450e-88cf-a70af1b0eadf,160
,0.06319214079750157,,0.021028026227650366,,0.01684063616203252,f292cc5c-7a90-360d-b62a-074c643bdf59,160
,0.05990579576605673,,0.012182432762101673,,0.005469532304529123,f3cd0d0d-8b71-3266-9732-d9f0d5778eb6,160
,0.04551387956443053,,0.011775527543239619,,0.0065882707632179335,f4c94798-4d77-36ab-bdc5-c1194e5e7aff,160
0.15624459758416367,0.08451135983638418,0.1565116723352755,0.02762330620051607,0.15732077239148345,0.019413190116289825,f668074d-d6c6-3ea7-a7b5-aad0a1203b03,160
,0.054731062382981616,,0.014613104971344416,,0.008140506225068867,f6cc0ebf-fc6a-3bf2-8bcb-76d8c43f194e,160
0.09764137594845063,0.053853862788576956,0.07805519037479484,0.014207243604528574,0.07889431494998958,0.009764039750105495,fbd62533-2d32-3c95-8590-7fd81bd68c87,160
,0.0709958473929436,,0.016743105558892583,,0.0090728779451668,fbee355f-8878-31fa-8ac8-b9a45a3f130a,160
0.07610498247768845,0.08436657648455631,0.10112522065905614,0.026537271161478398,0.09986364700933943,0.018001520951789734,ff0dbfc5-8a7b-3a6e-8936-e5e812e45408,160
