run,mode,method,n,dt_med,m1_path_len_err,m3_low_speed_rms,m4_smooth,m4_lag_s,m8_rmse_vs_ins,m8_bias
2015-08-12-15-04-18,rtk,savgol_w7p3,22911,0.10476199999993696,0.0454535185637025,0.051432255264823305,0.006353259309667316,0.0,0.21982836215959264,-0.18284803533548752
2015-08-12-15-04-18,rtk,smoothing_spline,22911,0.10476199999993696,0.00806949608551255,0.44300892746597953,0.002707143884615832,0.0,0.5053768565702613,0.024845912607400815
2015-08-12-15-04-18,rtk,family_a_W3,22911,0.10476199999993696,0.0025697344873438777,0.053838361604707875,0.27665197929589425,0.0,0.323522384867563,0.005868852354847417
2015-08-12-15-04-18,rtk,family_a_W5,22911,0.10476199999993696,0.0016534288923242269,0.05350138872714489,0.08561270439483057,0.0,0.2109925531356579,0.0009798252391267981
2015-08-12-15-04-18,rtk,family_a_W7,22911,0.10476199999993696,0.001099404250337721,0.053472443319880984,0.05152893672794397,0.0,0.16335136006687592,-0.0013960620661685808
2015-08-12-15-04-18,rtk,family_a_midspan_W5,22911,0.10476199999993696,6.371780423575224e-05,0.05857633240044294,0.05586026391717101,0.0,0.09286415474976305,-0.001619738083933398
2015-08-17-13-30-19,rtk,forward,15051,0.09847300000001269,0.00030599523011831664,0.06820640127369919,0.2550604694294661,0.0,0.18033579292073812,-0.005526199675389863
2015-08-17-13-30-19,rtk,central,15051,0.09847300000001269,4.9252544535249854e-05,0.06743150930357773,0.15407986959631018,0.0,0.1541951927824826,-0.007111123689565494
2015-08-17-13-30-19,rtk,cubic_global,15051,0.09847300000001269,0.0003226229451014362,0.06751560358090247,0.25454439937724443,0.0,0.18044272201841757,-0.0049255271340803795
2015-08-17-13-30-19,rtk,savgol_w7p3,15051,0.09847300000001269,0.015495634362298949,0.0682638088754188,0.018309477852365447,0.0,0.10902684459849837,0.06177406788710369
2015-08-17-13-30-19,rtk,smoothing_spline,15051,0.09847300000001269,0.005500405346038573,0.5662325523810425,0.0019183168304807011,-0.09847300000001269,0.5343722698934914,0.007574083236181442
2015-08-17-13-30-19,rtk,family_a_W3,15051,0.09847300000001269,0.00033642091964358745,0.06726074374587995,0.10938915295832245,0.0,0.15072481917188274,-0.008670420543131222
2015-08-17-13-30-19,rtk,family_a_W5,15051,0.09847300000001269,0.0003843066304471954,0.06686250132249638,0.03796339828794164,0.0,0.12102666584274026,-0.009891799667735238
2015-08-17-13-30-19,rtk,family_a_W7,15051,0.09847300000001269,0.0003698243696701464,0.06660918430836009,0.027366051812443032,0.0,0.0966425620301314,-0.01058058725789071
2015-08-17-13-30-19,rtk,family_a_midspan_W5,15051,0.09847300000001269,5.435181973356684e-05,0.07496189673132793,0.012140695741301746,0.0,0.0750798551430901,-0.009915188191158287
2015-08-27-16-07-13,rtk,forward,27600,0.10476399999993191,0.0018973123029240035,0.051165241932676804,0.5518832202116126,0.0,0.4034648245640499,0.02128901041549927
2015-08-27-16-07-13,rtk,central,27600,0.10476399999993191,2.3670130086861363e-05,0.05081714619328698,0.3789178705047236,0.0,0.33743160028383273,0.014831623849553421
2015-08-27-16-07-13,rtk,cubic_global,27600,0.10476399999993191,0.0018729312467493653,0.05101003531236421,0.5609479522329952,0.0,0.4177294355429109,0.02449186730446106
2015-08-27-16-07-13,rtk,savgol_w7p3,27600,0.10476399999993191,0.045467737577599365,0.04831429036882396,0.008357525744595003,0.0,0.20957534561931535,-0.14744071328810013
2015-08-27-16-07-13,rtk,smoothing_spline,27600,0.10476399999993191,0.009359873704722466,0.3163885906169738,0.0028258729355996404,-0.10476399999993191,0.48737277902146803,0.030758775922801497
2015-08-27-16-07-13,rtk,family_a_W3,27600,0.10476399999993191,0.0025756688337266187,0.05052917285633633,0.26463072742918803,0.0,0.30930524801688325,0.005004160180018115
2015-08-27-16-07-13,rtk,family_a_W5,27600,0.10476399999993191,0.001654431193902628,0.050386299249913086,0.08175931066638445,0.0,0.20169900720853082,0.0010644990145887447
2015-08-27-16-07-13,rtk,family_a_W7,27600,0.10476399999993191,0.0010933085660731479,0.05039410031692259,0.0492363676804481,0.0,0.15634183189590334,-0.0008266144889027469
2015-08-27-16-07-13,rtk,family_a_midspan_W5,27600,0.10476399999993191,6.509635834794913e-05,0.05372121618437525,0.053421818841732645,0.0,0.089677932515753,-0.0010193633072998292
2015-11-02-10-45-59,rtk,forward,29931,0.09847200000001521,0.0003505373521397459,0.062169832472550327,0.15283771290538933,0.0,0.08819199671888082,0.0023508620289367965
2015-11-02-10-45-59,rtk,central,29931,0.09847200000001521,3.2583243342543255e-05,0.06164325684377904,0.09985246957755163,0.0,0.06692045935225316,0.0016197047797445476
2015-11-02-10-45-59,rtk,cubic_global,29931,0.09847200000001521,0.00019516623490178908,0.06201205009861619,0.15771388309793516,0.0,0.08882199317142085,0.002474657587377473
2015-11-02-10-45-59,rtk,savgol_w7p3,29931,0.09847200000001521,0.015573306686484933,0.06272904376196904,0.010631838462405622,0.0,0.07206938462133752,0.05002434259942254
2015-11-02-10-45-59,rtk,smoothing_spline,29931,0.09847200000001521,0.00866057105501894,0.36150323438427284,0.001285004794418975,0.0,0.47428679272449087,0.02869589018309227
2015-11-02-10-45-59,rtk,family_a_W3,29931,0.09847200000001521,0.0002198189299588149,0.06174086883681806,0.06599630159422804,0.0,0.058275498573129435,0.0010416405022824731
2015-11-02-10-45-59,rtk,family_a_W5,29931,0.09847200000001521,6.704958257541804e-05,0.06091300891913094,0.011876428103345962,0.0,0.03302308796271295,0.0009289038329171124
2015-11-02-10-45-59,rtk,family_a_W7,29931,0.09847200000001521,0.00022285364690821652,0.059744512821581226,0.011130519960143654,0.0,0.027430626080893507,0.0007378764538077053
2015-11-02-10-45-59,rtk,family_a_midspan_W5,29931,0.09847200000001521,0.00022398786972988027,0.06301522598609895,0.008148729253227597,0.0,0.027509986978045523,0.0010440497934102054
2015-11-12-11-22-05,rtk,forward,21701,0.1047670000002654,0.0019084494858752077,0.059886895793609854,0.6429138737563116,0.0,0.4697824112206079,0.028583661101505786
2015-11-12-11-22-05,rtk,central,21701,0.1047670000002654,1.8524612832249154e-05,0.059442179085764615,0.441422446601779,0.0,0.3927871344321133,0.01995682544479099
2015-11-12-11-22-05,rtk,cubic_global,21701,0.1047670000002654,0.0018638532419292808,0.05969641246109385,0.6535347854072957,0.0,0.4863501159226239,0.032849612454204695
2015-11-12-11-22-05,rtk,savgol_w7p3,21701,0.1047670000002654,0.04549759931169295,0.0562307306261838,0.006460944780617186,0.0,0.24499324628532113,-0.19794475889215854
2015-11-12-11-22-05,rtk,smoothing_spline,21701,0.1047670000002654,0.005992670587766202,0.42514010436748984,0.003162225109757105,-0.1047670000002654,0.5058858946165679,0.020979584629738604
2015-11-12-11-22-05,rtk,family_a_W3,21701,0.1047670000002654,0.002569466296189815,0.059119394542158345,0.30818611413572805,0.0,0.3600273206887575,0.006776046373104901
2015-11-12-11-22-05,rtk,family_a_W5,21701,0.1047670000002654,0.0016511262412223227,0.05880526108509537,0.09523250963373243,0.0,0.23458940821313864,0.0014851076046749373
2015-11-12-11-22-05,rtk,family_a_W7,21701,0.1047670000002654,0.00109415551923997,0.05858887564205234,0.05729273915083641,0.0,0.18161491380311978,-0.0010863362562113976
2015-11-12-11-22-05,rtk,family_a_midspan_W5,21701,0.1047670000002654,6.973491604633786e-05,0.06306494154014215,0.062201759408220994,0.0,0.10335609401753947,-0.001311240159215206
