scenario,fs,noise_sigma,jitter_sigma,seed,method,rmse,bias,n
circle_r15_v5,2.0,0.01,0.005,2,family_a_W7,0.02180038004136949,-0.021407286689282847,41
circle_r15_v5,2.0,0.01,0.005,2,family_a_midspan_W5,0.010931684616915878,0.010535308055701654,41
circle_r15_v5,2.0,0.01,0.005,3,forward,0.03584778313652783,-0.003979634067060826,41
circle_r15_v5,2.0,0.01,0.005,3,central,0.025787897587755855,-0.021448907784151833,41
circle_r15_v5,2.0,0.01,0.005,3,cubic_global,0.025260413501400323,0.0023258461467640925,41
circle_r15_v5,2.0,0.01,0.005,3,smoothing_spline,0.2429515027214909,0.022797371971857924,41
circle_r15_v5,2.0,0.01,0.005,3,savgol_w5p2,0.08161367624873757,-0.07975529268550265,41
circle_r15_v5,2.0,0.01,0.005,3,savgol_w7p3,0.029176959357126043,-0.0021071800405175864,41
circle_r15_v5,2.0,0.01,0.005,3,savgol_w9p3,0.019501890140689555,-0.0042222013179666175,41
circle_r15_v5,2.0,0.01,0.005,3,savgol_w11p3,0.014716500928475358,-0.007350910828151457,41
circle_r15_v5,2.0,0.01,0.005,3,family_a_W3,0.008330985897985721,0.0001677454527819325,41
circle_r15_v5,2.0,0.01,0.005,3,family_a_W5,0.006822194698194388,-0.005721943612746988,41
circle_r15_v5,2.0,0.01,0.005,3,family_a_W7,0.021101541621925013,-0.02094115473100106,41
circle_r15_v5,2.0,0.01,0.005,3,family_a_midspan_W5,0.011200104055271333,0.011003593782559776,41
circle_r15_v5,2.0,0.01,0.005,4,forward,0.03076557805594748,-0.006325215534672246,41
circle_r15_v5,2.0,0.01,0.005,4,central,0.02781695047597531,-0.02414850386240845,41
circle_r15_v5,2.0,0.01,0.005,4,cubic_global,0.025932014401156053,-0.0007912505022775023,41
circle_r15_v5,2.0,0.01,0.005,4,smoothing_spline,0.24335058755956968,0.021580641606426695,41
circle_r15_v5,2.0,0.01,0.005,4,savgol_w5p2,0.0837958943740892,-0.08237637694408026,41
circle_r15_v5,2.0,0.01,0.005,4,savgol_w7p3,0.023119117827970805,-0.004349971886354543,41
circle_r15_v5,2.0,0.01,0.005,4,savgol_w9p3,0.017362875458542225,-0.006488781991187552,41
circle_r15_v5,2.0,0.01,0.005,4,savgol_w11p3,0.015824581700911576,-0.010376499037927969,41
circle_r15_v5,2.0,0.01,0.005,4,family_a_W3,0.008951177723788405,-0.0022940948714879742,41
circle_r15_v5,2.0,0.01,0.005,4,family_a_W5,0.007901890333544223,-0.00686906912840876,41
circle_r15_v5,2.0,0.01,0.005,4,family_a_W7,0.02215329121688428,-0.022069482027516973,41
circle_r15_v5,2.0,0.01,0.005,4,family_a_midspan_W5,0.01045590178740949,0.010245704839577093,41
circle_r15_v5,2.0,0.05,0.0,0,forward,0.1137057055048829,-0.001833420399653113,41
circle_r15_v5,2.0,0.05,0.0,0,central,0.059922088904439744,-0.021773967358735682,41
circle_r15_v5,2.0,0.05,0.0,0,cubic_global,0.09451754202708865,0.0035093943670056094,41
circle_r15_v5,2.0,0.05,0.0,0,smoothing_spline,0.24313437082558348,0.022975097477806534,41
circle_r15_v5,2.0,0.05,0.0,0,savgol_w5p2,0.08177498425970305,-0.07838012179125362,41
circle_r15_v5,2.0,0.05,0.0,0,savgol_w7p3,0.039725711712801544,-0.0014846411889672092,41
circle_r15_v5,2.0,0.05,0.0,0,savgol_w9p3,0.025069184527483284,-0.0015782966181785215,41
circle_r15_v5,2.0,0.05,0.0,0,savgol_w11p3,0.02155307421911934,-0.00468427934511967,41
circle_r15_v5,2.0,0.05,0.0,0,family_a_W3,0.039725711712801676,-0.001484641188969272,41
circle_r15_v5,2.0,0.05,0.0,0,family_a_W5,0.021553074219119665,-0.004684279345119785,41
circle_r15_v5,2.0,0.05,0.0,0,family_a_W7,0.026039730847817976,-0.020318741370818027,41
circle_r15_v5,2.0,0.05,0.0,0,family_a_midspan_W5,0.017556598712319585,0.011510148913295755,41
