scenario,method,fs,noise_sigma,rmse_med,rmse_iqr,bias_med,n_seeds
circle_r5_v2,cubic_global,5.0,0.01,0.058642627648458526,0.005749688189532927,0.0011608550934205323,10
circle_r5_v2,cubic_global,5.0,0.05,0.2908000951403691,0.027932943893387074,0.02339030950926736,10
circle_r5_v2,cubic_global,5.0,0.2,1.0882664667332334,0.06757034388273953,0.4097272900242275,10
circle_r5_v2,cubic_global,10.0,0.0,3.010083230626423e-08,3.817853017615279e-09,-2.8585070938273305e-08,10
circle_r5_v2,cubic_global,10.0,0.01,0.11975708978471578,0.006850450205143785,0.0030963109274918955,10
circle_r5_v2,cubic_global,10.0,0.05,0.5871228507202977,0.02869755510955918,0.08642587099092142,10
circle_r5_v2,cubic_global,10.0,0.2,2.3012448439503554,0.09714020966072301,1.459032002941418,10
circle_r5_v2,cubic_global,50.0,0.0,8.756163295080167e-11,8.551210329168981e-11,-5.695489474051288e-11,10
circle_r5_v2,cubic_global,50.0,0.01,1.1429842955136542,2.044300747023228,0.23592308501940956,10
circle_r5_v2,cubic_global,50.0,0.05,6.438713751671651,11.267253009367593,3.3779520712265203,10
circle_r5_v2,cubic_global,50.0,0.2,28.632015309053862,44.03887857908037,18.11366990394591,10
circle_r5_v2,family_a_W3,2.0,0.0,0.000657483642670329,3.3530120037124703e-07,-0.0006574836426703291,10
circle_r5_v2,family_a_W3,2.0,0.01,0.00945078811524892,0.0021659545213221325,-0.0001941336351683028,10
circle_r5_v2,family_a_W3,2.0,0.05,0.04699125339969188,0.011049804806013606,0.0021455127789815442,10
circle_r5_v2,family_a_W3,2.0,0.2,0.18476835859208474,0.04409314026324351,0.017783375990293504,10
circle_r5_v2,family_a_W3,5.0,0.0,1.7012269408118338e-05,3.2372010654691885e-08,-1.7011049625558474e-05,10
circle_r5_v2,family_a_W3,5.0,0.01,0.02449024145054804,0.0029798010029884504,1.1636131163913523e-05,10
circle_r5_v2,family_a_W3,5.0,0.05,0.12234759465880812,0.01487129978326411,0.003450772094845004,10
circle_r5_v2,family_a_W3,5.0,0.2,0.48796305662823836,0.05592366091423728,0.06986224371316656,10
circle_r5_v2,family_a_W3,10.0,0.0,1.0681456573426959e-06,9.844712536050181e-09,-1.0677603182875414e-06,10
circle_r5_v2,family_a_W3,10.0,0.01,0.05131685327662376,0.004297749483174025,0.000405338252621897,10
circle_r5_v2,family_a_W3,10.0,0.05,0.25499573721595525,0.019660050948378027,0.01467929254290116,10
circle_r5_v2,family_a_W3,10.0,0.2,0.9689564303320191,0.04540985133490738,0.2730118159691789,10
circle_r5_v2,family_a_W3,50.0,0.0,1.91255655390961e-09,4.323989474416147e-10,-1.8665514407254454e-09,10
circle_r5_v2,family_a_W3,50.0,0.01,0.25639383364291507,0.009577978936012754,0.016998991423792263,10
circle_r5_v2,family_a_W3,50.0,0.05,1.21085285306502,0.04425837127591592,0.4656616816767456,10
circle_r5_v2,family_a_W3,50.0,0.2,5.83385562995642,0.3172702337468376,4.6486010565971885,10
circle_r5_v2,family_a_W5,2.0,0.0,0.004915543027043879,4.93620807510281e-09,-0.004915543027043879,10
circle_r5_v2,family_a_W5,2.0,0.01,0.006441829223753007,0.0011080385987407614,-0.004614784854070778,10
circle_r5_v2,family_a_W5,2.0,0.05,0.023539090512649206,0.003179054772852019,-0.003328992186576376,10
circle_r5_v2,family_a_W5,2.0,0.2,0.09114587091405144,0.012421696145037867,0.002691884226252084,10
circle_r5_v2,family_a_W5,5.0,0.0,0.0001294662455851446,5.680881723612837e-08,-0.00012946077618962177,10
circle_r5_v2,family_a_W5,5.0,0.01,0.011541205177748233,0.0016038830486823502,-2.1225745114204943e-05,10
circle_r5_v2,family_a_W5,5.0,0.05,0.05772859687849301,0.00799541572887165,0.001109335591876189,10
