ds_factor,effective_hz,noise_sigma,jitter_sigma,method,rmse,n,sequence
5,2.000006708937457,0.5,0.02,savgol_w7p3,0.5520453041169912,4288,bridge01
5,2.000006708937457,0.5,0.02,smoothing_spline_default,0.4714001965305972,4288,bridge01
5,2.000006708937457,0.5,0.02,smoothing_spline_tuned,0.2309213547483881,4288,bridge01
5,2.000006708937457,0.5,0.02,family_a_W5,0.29303931418164036,4288,bridge01
5,2.000006708937457,0.5,0.02,family_a_W7,0.20761139874932888,4288,bridge01
10,1.000003840014836,0.0,0.0,central,0.08082878416536583,2144,bridge01
10,1.000003840014836,0.0,0.0,savgol_w7p3,0.09689996094557127,2144,bridge01
10,1.000003840014836,0.0,0.0,smoothing_spline_default,0.5078961509822083,2144,bridge01
10,1.000003840014836,0.0,0.0,smoothing_spline_tuned,0.1812626070572104,2144,bridge01
10,1.000003840014836,0.0,0.0,family_a_W5,0.18910564353633502,2144,bridge01
10,1.000003840014836,0.0,0.0,family_a_W7,0.2880392969303942,2144,bridge01
10,0.999933193541266,0.0,0.005,central,0.0930401407057019,2144,bridge01
10,0.999933193541266,0.0,0.005,savgol_w7p3,0.09703473397498752,2144,bridge01
10,0.999933193541266,0.0,0.005,smoothing_spline_default,0.515582644726076,2144,bridge01
10,0.999933193541266,0.0,0.005,smoothing_spline_tuned,0.18088952122165092,2144,bridge01
10,0.999933193541266,0.0,0.005,family_a_W5,0.18971621211430442,2144,bridge01
10,0.999933193541266,0.0,0.005,family_a_W7,0.2880492759842573,2144,bridge01
10,1.0002512053554713,0.0,0.02,central,0.19506465135890882,2144,bridge01
10,1.0002512053554713,0.0,0.02,savgol_w7p3,0.0970930518030559,2144,bridge01
10,1.0002512053554713,0.0,0.02,smoothing_spline_default,0.5102930569686421,2144,bridge01
10,1.0002512053554713,0.0,0.02,smoothing_spline_tuned,0.20608555795285227,2144,bridge01
10,1.0002512053554713,0.0,0.02,family_a_W5,0.1994701511663086,2144,bridge01
10,1.0002512053554713,0.0,0.02,family_a_W7,0.29087908145804364,2144,bridge01
10,1.000003840014836,0.05,0.0,central,0.08890043709132461,2144,bridge01
10,1.000003840014836,0.05,0.0,savgol_w7p3,0.10079825127534091,2144,bridge01
10,1.000003840014836,0.05,0.0,smoothing_spline_default,0.5069615105887721,2144,bridge01
10,1.000003840014836,0.05,0.0,smoothing_spline_tuned,0.1880938538441125,2144,bridge01
10,1.000003840014836,0.05,0.0,family_a_W5,0.18946686054253759,2144,bridge01
10,1.000003840014836,0.05,0.0,family_a_W7,0.28793972001240936,2144,bridge01
10,1.0000634089187916,0.05,0.005,central,0.09901896119189046,2144,bridge01
10,1.0000634089187916,0.05,0.005,savgol_w7p3,0.10066977632009547,2144,bridge01
10,1.0000634089187916,0.05,0.005,smoothing_spline_default,0.5128416869387007,2144,bridge01
10,1.0000634089187916,0.05,0.005,smoothing_spline_tuned,0.17965395456072503,2144,bridge01
10,1.0000634089187916,0.05,0.005,family_a_W5,0.1898901728860842,2144,bridge01
10,1.0000634089187916,0.05,0.005,family_a_W7,0.2880694236069211,2144,bridge01
10,1.0000543902768966,0.05,0.02,central,0.18592011355406268,2144,bridge01
10,1.0000543902768966,0.05,0.02,savgol_w7p3,0.0996064051159345,2144,bridge01
10,1.0000543902768966,0.05,0.02,smoothing_spline_default,0.5066704440013381,2144,bridge01
10,1.0000543902768966,0.05,0.02,smoothing_spline_tuned,0.20408060297375774,2144,bridge01
10,1.0000543902768966,0.05,0.02,family_a_W5,0.19578138742127296,2144,bridge01
10,1.0000543902768966,0.05,0.02,family_a_W7,0.28892192848336723,2144,bridge01
10,1.000003840014836,0.2,0.0,central,0.17052181736261432,2144,bridge01
10,1.000003840014836,0.2,0.0,savgol_w7p3,0.1457058170240401,2144,bridge01
10,1.000003840014836,0.2,0.0,smoothing_spline_default,0.4986021095385831,2144,bridge01
10,1.000003840014836,0.2,0.0,smoothing_spline_tuned,0.22556117636042766,2144,bridge01
10,1.000003840014836,0.2,0.0,family_a_W5,0.19656252674150831,2144,bridge01
10,1.000003840014836,0.2,0.0,family_a_W7,0.2888174300913068,2144,bridge01
10,1.0001667430070744,0.2,0.005,central,0.17359404604390344,2144,bridge01
10,1.0001667430070744,0.2,0.005,savgol_w7p3,0.1453077163942002,2144,bridge01
10,1.0001667430070744,0.2,0.005,smoothing_spline_default,0.503996860946168,2144,bridge01
10,1.0001667430070744,0.2,0.005,smoothing_spline_tuned,0.22560952297847203,2144,bridge01
10,1.0001667430070744,0.2,0.005,family_a_W5,0.19623300911306069,2144,bridge01
10,1.0001667430070744,0.2,0.005,family_a_W7,0.2887258337832013,2144,bridge01
10,0.9992660782616223,0.2,0.02,central,0.24823105179889535,2144,bridge01
10,0.9992660782616223,0.2,0.02,savgol_w7p3,0.1444440796737195,2144,bridge01
10,0.9992660782616223,0.2,0.02,smoothing_spline_default,0.502292181222108,2144,bridge01
