ds_factor,effective_hz,noise_sigma,jitter_sigma,method,rmse,n
2,4.999987200030572,0.05,0.0,family_a_W5,0.07181971599826621,12070
2,4.999987200030572,0.05,0.0,family_a_W7,0.05431720007987431,12070
2,5.000203083111736,0.05,0.005,central,0.20579781457069793,12070
2,5.000203083111736,0.05,0.005,savgol_w7p3,0.14068555629227097,12070
2,5.000203083111736,0.05,0.005,smoothing_spline_default,0.4380844455797898,12070
2,5.000203083111736,0.05,0.005,smoothing_spline_tuned,0.058406116844816065,12070
2,5.000203083111736,0.05,0.005,family_a_W5,0.0778545128477525,12070
2,5.000203083111736,0.05,0.005,family_a_W7,0.05625590627057871,12070
2,4.996564138788448,0.05,0.02,central,0.35777265133366887,12070
2,4.996564138788448,0.05,0.02,savgol_w7p3,0.1421204889532126,12070
2,4.996564138788448,0.05,0.02,smoothing_spline_default,0.43753848691905084,12070
2,4.996564138788448,0.05,0.02,smoothing_spline_tuned,0.47703368870117013,12070
2,4.996564138788448,0.05,0.02,family_a_W5,0.12181061601626196,12070
2,4.996564138788448,0.05,0.02,family_a_W7,0.08129342002522441,12070
2,4.999987200030572,0.2,0.0,central,0.7751893726306645,12070
2,4.999987200030572,0.2,0.0,savgol_w7p3,0.559562856988637,12070
2,4.999987200030572,0.2,0.0,smoothing_spline_default,0.4308903570777001,12070
2,4.999987200030572,0.2,0.0,smoothing_spline_tuned,0.11594136458179519,12070
2,4.999987200030572,0.2,0.0,family_a_W5,0.26740453083360066,12070
2,4.999987200030572,0.2,0.0,family_a_W7,0.16521578587210997,12070
2,5.000166391344492,0.2,0.005,central,0.7751154052139982,12070
2,5.000166391344492,0.2,0.005,savgol_w7p3,0.5589652343167226,12070
2,5.000166391344492,0.2,0.005,smoothing_spline_default,0.43480525681422705,12070
2,5.000166391344492,0.2,0.005,smoothing_spline_tuned,0.10849831275489327,12070
2,5.000166391344492,0.2,0.005,family_a_W5,0.2708823512617883,12070
2,5.000166391344492,0.2,0.005,family_a_W7,0.1709606621015175,12070
2,5.001416656601809,0.2,0.02,central,0.8429417533238616,12070
2,5.001416656601809,0.2,0.02,savgol_w7p3,0.5611653160692583,12070
2,5.001416656601809,0.2,0.02,smoothing_spline_default,0.43809217297097375,12070
2,5.001416656601809,0.2,0.02,smoothing_spline_tuned,0.13422916013601396,12070
2,5.001416656601809,0.2,0.02,family_a_W5,0.2897425453515197,12070
2,5.001416656601809,0.2,0.02,family_a_W7,0.17932911149795774,12070
2,4.999987200030572,0.5,0.0,central,1.8815835773275738,12070
2,4.999987200030572,0.5,0.0,savgol_w7p3,1.3657282338821326,12070
2,4.999987200030572,0.5,0.0,smoothing_spline_default,0.41241085178885206,12070
2,4.999987200030572,0.5,0.0,smoothing_spline_tuned,0.16076898485466842,12070
2,4.999987200030572,0.5,0.0,family_a_W5,0.6610839379623412,12070
2,4.999987200030572,0.5,0.0,family_a_W7,0.40749550614976593,12070
2,5.0024580476591565,0.5,0.005,central,1.913534598662487,12070
2,5.0024580476591565,0.5,0.005,savgol_w7p3,1.3871879583286066,12070
2,5.0024580476591565,0.5,0.005,smoothing_spline_default,0.4116668856406241,12070
2,5.0024580476591565,0.5,0.005,smoothing_spline_tuned,0.15277772075024984,12070
2,5.0024580476591565,0.5,0.005,family_a_W5,0.6586549408068191,12070
2,5.0024580476591565,0.5,0.005,family_a_W7,0.4034142310516776,12070
2,4.999577984860663,0.5,0.02,central,1.964083466976732,12070
2,4.999577984860663,0.5,0.02,savgol_w7p3,1.3830159361118806,12070
2,4.999577984860663,0.5,0.02,smoothing_spline_default,0.40612825030491534,12070
2,4.999577984860663,0.5,0.02,smoothing_spline_tuned,0.1587039936316194,12070
2,4.999577984860663,0.5,0.02,family_a_W5,0.677724774825998,12070
2,4.999577984860663,0.5,0.02,family_a_W7,0.4172267874712876,12070
5,1.9999969280046919,0.0,0.0,central,0.03480270832743685,4828
5,1.9999969280046919,0.0,0.0,savgol_w7p3,0.03925915136331168,4828
5,1.9999969280046919,0.0,0.0,smoothing_spline_default,0.4277540203480373,4828
5,1.9999969280046919,0.0,0.0,smoothing_spline_tuned,0.052745807390830554,4828
5,1.9999969280046919,0.0,0.0,family_a_W5,0.06501522151188874,4828
5,1.9999969280046919,0.0,0.0,family_a_W7,0.09205692375148546,4828
5,1.9997448131924427,0.0,0.005,central,0.04552809867415486,4828
5,1.9997448131924427,0.0,0.005,savgol_w7p3,0.039392095747939046,4828
5,1.9997448131924427,0.0,0.005,smoothing_spline_default,0.4276117186087954,4828
5,1.9997448131924427,0.0,0.005,smoothing_spline_tuned,0.056083064385802545,4828
5,1.9997448131924427,0.0,0.005,family_a_W5,0.06594569565690722,4828
