ds_factor,noise_sigma,jitter_sigma,method,median,q1,q3
10,0.05,0.005,smoothing_spline_default,0.5061282002030536,0.4999057230826417,0.5125494806198898
10,0.05,0.005,smoothing_spline_tuned,0.16206252815283773,0.1365962567582171,0.18129706255299946
10,0.05,0.02,central,0.14135248592528943,0.11140680706302297,0.17166935379979353
10,0.05,0.02,family_a_W5,0.18549390217426953,0.1655500469740941,0.20828426184047788
10,0.05,0.02,family_a_W7,0.2723676120894911,0.24582125520219852,0.28878026401378937
10,0.05,0.02,savgol_w7p3,0.0962526402814656,0.08676917066543066,0.1099791532092953
10,0.05,0.02,smoothing_spline_default,0.5033355322491226,0.4978721212406918,0.5103065619489082
10,0.05,0.02,smoothing_spline_tuned,0.16662292676871518,0.13313198966711892,0.19113595377721862
10,0.2,0.0,central,0.17453166097338535,0.16790185081222123,0.18135417401468057
10,0.2,0.0,family_a_W5,0.18919532219049975,0.16672053892074373,0.21199814901442024
10,0.2,0.0,family_a_W7,0.27321357145133074,0.24659992669956865,0.2890587205310925
10,0.2,0.0,savgol_w7p3,0.14907685794354616,0.1385417809452944,0.1553547985720189
10,0.2,0.0,smoothing_spline_default,0.505025887242134,0.49370693431626334,0.5122052961710841
10,0.2,0.0,smoothing_spline_tuned,0.21228537681390708,0.20180521435737964,0.22264445248410014
10,0.2,0.005,central,0.17772915064533792,0.16902952149642295,0.18297703094339862
10,0.2,0.005,family_a_W5,0.18913758557881155,0.170183151877151,0.21153308786164393
10,0.2,0.005,family_a_W7,0.27356959259401936,0.248592776151519,0.29062834642037405
10,0.2,0.005,savgol_w7p3,0.14738284509678343,0.13864553560383663,0.15643463608830566
10,0.2,0.005,smoothing_spline_default,0.5022078506053032,0.49882262920591247,0.5093891315636156
10,0.2,0.005,smoothing_spline_tuned,0.20839425209855725,0.19394689021406275,0.2230406771089554
10,0.2,0.02,central,0.20500347121962248,0.19605836401666246,0.22432169181004327
10,0.2,0.02,family_a_W5,0.19578534199013206,0.1718497964541007,0.21500787851456984
10,0.2,0.02,family_a_W7,0.2735120798945805,0.2497982528648728,0.2916086704841468
10,0.2,0.02,savgol_w7p3,0.1482441015153864,0.13653014074283032,0.15365453660266476
10,0.2,0.02,smoothing_spline_default,0.4992197343284803,0.4936720601715415,0.5140767082078477
10,0.2,0.02,smoothing_spline_tuned,0.2073634332563597,0.19598284733282995,0.21937185275118992
10,0.5,0.0,central,0.3913868218474785,0.37900313137728775,0.4190608071000833
10,0.5,0.0,family_a_W5,0.2292094556380424,0.20740952357708808,0.242806720238065
10,0.5,0.0,family_a_W7,0.28473220096392937,0.2564713776191732,0.29735278218583405
10,0.5,0.0,savgol_w7p3,0.28711755275257467,0.2822730798255199,0.31501131107533603
10,0.5,0.0,smoothing_spline_default,0.4730613227611139,0.47178323324100474,0.47843841858944225
10,0.5,0.0,smoothing_spline_tuned,0.2751031851161131,0.2509049330242036,0.2998011822879932
10,0.5,0.005,central,0.40796869915672107,0.3989521789582406,0.42272142399002516
10,0.5,0.005,family_a_W5,0.22549564969020966,0.20902327541941462,0.24136808831916898
10,0.5,0.005,family_a_W7,0.28389173548525226,0.25841668165471926,0.2979877795649375
10,0.5,0.005,savgol_w7p3,0.3059617894938165,0.2981033623296018,0.3149075220264889
10,0.5,0.005,smoothing_spline_default,0.4686744539050442,0.45938573550047235,0.4885136498301508
10,0.5,0.005,smoothing_spline_tuned,0.28471457708418546,0.2700613364544688,0.31099852501629754
10,0.5,0.02,central,0.4176252876905962,0.3978665968074787,0.4296587804119841
10,0.5,0.02,family_a_W5,0.22835445538474172,0.20491400100998783,0.25307227890026546
10,0.5,0.02,family_a_W7,0.282934255613599,0.2572361669150038,0.29991085774157367
10,0.5,0.02,savgol_w7p3,0.28846988916037974,0.28702737042782184,0.3063389216734892
10,0.5,0.02,smoothing_spline_default,0.46646740673617304,0.45890157790055924,0.4702057224056858
10,0.5,0.02,smoothing_spline_tuned,0.27800229610827676,0.2632129568045946,0.2870809760674378
